,name,street_address,city,state,latitude,longitude,store_id
122,Fort Smith Supercenter,2425 S Zero St,Fort Smith,AR,35.329141,-94.406562,07bcf770-7330-41db-ba89-5535a82bb617
123,Little Rock Supercenter,2700 S Shackleford Rd,Little Rock,AR,34.72831,-92.397677,fd327007-93be-4d6f-9c98-63a05aea4a23
124,Muskogee Supercenter,1000 W Shawnee St,Muskogee,OK,35.772625,-95.373093,e1a3fa29-3a2e-4c2a-b1dc-c072d7ce3cc5
125,Ardmore Supercenter,1715 N Commerce St,Ardmore,OK,34.193239,-97.145321,2fac0c2c-8062-415b-8dc8-1929989a1416
126,Seminole Supercenter,1500 E Wrangler Blvd,Seminole,OK,35.248317,-96.654501,7b333778-993e-48b8-a149-68f47a485252
127,Kingfisher Supercenter,200 Starlite Dr,Kingfisher,OK,35.8287229,-97.9367127,3e424ec8-aaa3-441f-ac39-f9fba2705431
128,Mount Pleasant Supercenter,2311 S Jefferson Ave,Mount Pleasant,TX,33.134578,-94.964667,52d25ce0-2715-4727-a613-e6e97774c522
129,Ashdown Supercenter,297 Hwy 32 By-pass E,Ashdown,AR,33.657167,-94.10924,30544258-46ca-4904-9512-5d8b3b8a62d0
130,Elk City Supercenter,210 Regional Dr,Elk City,OK,35.409307,-99.37645,b6618177-4432-40c7-8e31-2c44f5abe83f
131,Blackwell Store,1219 W Doolin Ave,Blackwell,OK,36.810171,-97.297401,c66b5b41-b139-42a9-a25d-5f130c261879
132,Chillicothe Supercenter,1000 Graves St,Chillicothe,MO,39.7765306,-93.55634,236046fa-d21e-4e1c-9464-36aa3463a464
133,Springfield Supercenter,1923 E Kearney St,Springfield,MO,37.241729,-93.258694,32b95001-3600-40e4-ab94-2d0691f0f533
134,Stillwater Supercenter,111 N Perkins Rd,Stillwater,OK,36.124523,-97.048223,ab2cb206-124e-4f1b-ba90-5dd278c25c45
135,Purcell Supercenter,2015 S Green Ave,Purcell,OK,34.987486,-97.370172,6fe643d0-ad5e-481e-b3e1-570d1e09ddcc
136,Fort Smith Supercenter,8301 Rogers Ave,Fort Smith,AR,35.350111,-94.338702,70be4e72-d10d-4b32-8b61-83ce93911c92
137,Fayetteville Supercenter,2875 W Mrtn Luther K,Fayetteville,AR,36.050008,-94.201133,d928a418-99c4-4efe-b6e6-a34d021214c5
138,Lufkin Supercenter,2500 Daniel Mccall Dr,Lufkin,TX,31.299557,-94.731474,621d405f-45c4-4b09-aa19-734e5e86c037
139,Gilmer Supercenter,1102 Us Highway 271 North,Gilmer,TX,32.747175,-94.93762,e1eec54d-8a64-4772-8e75-61267191f089
140,Benton Supercenter,310 W 5th St,Benton,KY,36.869615,-88.360427,caffa900-93c5-4b4d-a800-49bed03732c8
141,Paris Supercenter,3855 Lamar Ave,Paris,TX,33.664699,-95.505897,a03b2eec-2707-4994-9a86-ff68f6520a53
142,Woodward Supercenter,3215 Williams Ave,Woodward,OK,36.412341,-99.384178,2f4a9674-84c2-484c-a736-9a938395d52d
143,Bowling Green Supercenter,3 Town Center Dr,Bowling Green,MO,39.330546,-91.181652,dd1ba2ee-9a4d-462e-95da-00172f200249
144,Jonesboro Supercenter,184 Old Winnfield Rd,Jonesboro,LA,32.227952,-92.705761,7a20127f-6d3d-4902-97ab-1a7408a3d7b8
145,Denison Supercenter,401 N Us Highway 75,Denison,TX,33.759174,-96.587537,25c32590-b452-4fbd-9ba7-f63a264ef60a
146,Mcalester Supercenter,432 S George Nigh Expy,Mcalester,OK,34.9192022,-95.7404781,a6e9af1f-da51-4c85-a488-c535aeb70c46
147,De Soto Supercenter,12862 State Route 21,De Soto,MO,38.150177,-90.574504,456e74c5-1294-4413-aad5-0f4486d1744c
148,New Albany Supercenter,202 Park Plaza Dr,New Albany,MS,34.492946,-89.032578,7b09c56e-7a60-4e0a-84ec-0313395c410a
149,Searcy Supercenter,3509 E Race Ave,Searcy,AR,35.247101,-91.687166,17dffd57-08e6-44aa-9f09-78563db8ad7a
150,Abingdon Supercenter,16032 Fifteen Mile Boulevard,Abingdon,VA,36.714643,-81.927722,57aed102-a3d2-4f03-a62d-ec41b5599d18
151,Columbia Supercenter,415 Conley Rd,Columbia,MO,38.954911,-92.296729,b660450f-cfb2-4048-8c5c-4ba730459b9a
152,Anadarko Supercenter,1201 W Petree Rd,Anadarko,OK,35.060053,-98.262377,42b62f28-59c6-41cc-a843-96d1a0b16fae
153,Bonham Supercenter,2021 N State Highway 121,Bonham,TX,33.596586,-96.194575,1fd15f2f-5196-4eea-9ed9-766e419010ba
154,Ash Flat Supercenter,219 Highway 412,Ash Flat,AR,36.241189,-91.596294,6676fabc-32d6-4853-90c0-4868ced1d2f8
155,Senatobia Supercenter,5219 Highway 51 N,Senatobia,MS,34.629368,-89.971894,2a6717af-7a5c-4ece-b8ad-f7d2990daf46
156,Huntingdon Supercenter,180 Veterans Dr N,Huntingdon,TN,35.997828,-88.43735,7e2bc3c6-89a3-4bcf-a726-a35cbdc32312
157,Nacogdoches Supercenter,4810 North St,Nacogdoches,TX,31.650027,-94.652353,039e33e3-05e7-410f-af8e-1915cb195999
158,Pontotoc Supercenter,100 Mccord Rd,Pontotoc,MS,34.285602,-89.021349,aa9446a1-e17f-4176-ac4a-57abf8439962
159,Henderson Supercenter,2121 Us Highway 79 S,Henderson,TX,32.130652,-94.802126,eabe307c-82e6-4df6-9cb0-6813b6f86f5e
160,Houston Supercenter,1433 S Sam Houston Blvd,Houston,MO,37.313756,-91.962661,60ba962c-cc12-48b5-8b78-42b0fc3eed2d
161,Owasso Supercenter,12101 E 96th St N,Owasso,OK,36.295227,-95.837899,18c02634-0534-4de6-9b3a-2f4db9ae9457
162,Natchitoches Supercenter,925 Keyser Ave,Natchitoches,LA,31.750245,-93.066686,ec222d7f-3704-4426-860c-36ae30281ccf
163,Crossett Supercenter,910 Unity Rd,Crossett,AR,33.136229,-91.941957,9de168fb-2864-4d2b-8d44-51508a5c356e
164,Lonoke Supercenter,322 Brownsville Loop,Lonoke,AR,34.805224,-91.894037,bf64e1b8-9735-49f0-8e08-39885bf8cf47
165,Camden Supercenter,950 California Ave Sw,Camden,AR,33.567239,-92.836856,959225a1-ebb8-40d3-89b7-6bf38a262b3e
166,Potosi Supercenter,#1 Memorial Drive,Potosi,MO,37.92381,-90.771606,d9de4187-123e-456c-a254-25c796e07079
167,Washington Supercenter,1701 A Roy Dr,Washington,MO,38.5404591,-90.9952384,084c62ad-5a51-4056-834c-b9241b5e9ae3
168,Collierville Supercenter,560 W Poplar Ave,Collierville,TN,35.048344,-89.68099,4894df4b-ec39-4333-8772-f0d1bf0fbc59
169,Cocoa Supercenter,2700 Clearlake Rd,Cocoa,FL,28.395378,-80.753116,a261922b-e15d-425c-8e27-2287be485fc8
170,Ripley Store,822 City Ave S,Ripley,MS,34.72373,-88.950897,219593ab-2326-493c-903c-003d77e02617
171,Paris Supercenter,1210 Mineral Wells Ave,Paris,TN,36.281103,-88.307919,ba526d7e-65fa-45cd-a036-b2ad5c36201d
172,Alva Supercenter,914 E Oklahoma Blvd,Alva,OK,36.79952,-98.645026,22eaf3a2-aa00-4baa-a4d6-3c59b678d407
173,Springfield Supercenter,3520 W Sunshine St,Springfield,MO,37.180349,-93.352393,e81cac3f-fb0b-44c3-ae28-4482acdb9481
174,Greenville Supercenter,1831 Highway 1 S,Greenville,MS,33.3678514,-91.0438728,b529c80b-c792-426f-a2f6-f00d9c5173fd
175,New Boston Supercenter,800 James Bowie Dr,New Boston,TX,33.470693,-94.403621,148feb4a-5f0d-45dc-87d3-ed2952e5e346
176,Gainesville Supercenter,1800 Lawrence St,Gainesville,TX,33.645646,-97.13596,15d3a094-e27a-4e2d-a9b6-07899b004aab
177,Blue Springs Supercenter,600 Ne Coronado Dr,Blue Springs,MO,39.024151,-94.25503,6e2196c2-8bb6-4146-b04e-44a2e056aa0e
178,Jacksonville Supercenter,1311 S Jackson St,Jacksonville,TX,31.951409,-95.266334,3fdba997-0ce5-4384-8a2d-497d677c7c01
179,Louisville Supercenter,159 Highway 15 S,Louisville,MS,33.122255,-89.08271,11f3097e-6a26-4686-9046-6c64600b240b
180,El Dorado Supercenter,301 S Village Rd,El Dorado,KS,37.814622,-96.892174,73a1bf80-15f0-4e4e-bac8-a6e71ac4edcb
181,Cape Girardeau Supercenter,3439 William St,Cape Girardeau,MO,37.30124,-89.585833,486491e3-c0ce-4b8b-a7b1-a442ae6c93d3
182,Kirksville Supercenter,2206 N Baltimore St,Kirksville,MO,40.216711,-92.579522,b694f138-12c1-420c-99f4-4b2a717ab456
183,Baytown Supercenter,4900 Garth Rd,Baytown,TX,29.7763429,-94.9743933,90107017-1a7d-493b-83cc-6587b9c1d53f
184,Excelsior Springs Supercenter,2203 Patsy Ln,Excelsior Springs,MO,39.329466,-94.265105,a161cac9-6ba9-40d2-880a-6ef2761565a1
185,Columbia Supercenter,2200 Brookmeade Dr,Columbia,TN,35.5989735,-87.0513091,2679b7ab-c24e-461d-8375-3467819eba27
186,Carbondale Supercenter,1450 E Main St,Carbondale,IL,37.738565,-89.186886,abf4f668-3536-4194-9714-e3819096a567
187,Kennett Supercenter,1500 1st St,Kennett,MO,36.238808,-90.037563,2d7ac934-19ef-41da-9d5d-4494f02707e9
188,Salem Supercenter,1870 W Main St,Salem,IL,38.625999,-88.98129,6c96bc22-baf8-42ed-ba51-28f49a9aa458
189,Lincoln Supercenter,825 Malerich Dr,Lincoln,IL,40.154263,-89.398031,700dc5ec-7215-43ec-9736-7c87c74164e2
190,Macomb Supercenter,1730 E Jackson St,Macomb,IL,40.461079,-90.641514,0dffc580-1fa3-4e9e-93a6-b0afe350776a
191,Belleville Supercenter,2608 Green Mount Commons Dr,Belleville,IL,38.522079,-89.922955,d1e5d393-4ca8-40c5-b09d-fac468ff559e
192,Princeton Supercenter,1500 Us Highway 62 W,Princeton,KY,37.11071,-87.918332,0c03b0f9-3c25-4408-a620-159ba9d835e9
193,Jacksonville Supercenter,1941 W Morton Ave,Jacksonville,IL,39.71992,-90.270971,46773ac3-47f2-4eea-bf2b-21c6e805cdb3
194,Mckinney Supercenter,2041 N Redbud Blvd,Mckinney,TX,33.222075,-96.629963,fd8c51cf-24ae-4f9b-a1be-918987eb4bdf
195,Brookfield Supercenter,937 Park Circle Dr,Brookfield,MO,39.767807,-93.072718,e335ca4d-dd09-4c34-8189-3ba413594cb8
196,Philadelphia Supercenter,1002 W Beacon St,Philadelphia,MS,32.7675247,-89.1275641,78ed5ff1-7cfb-4bb4-9452-24c5c56d2330
197,Cleveland Supercenter,772 N Airport Rd,Cleveland,OK,36.297466,-96.463165,9584a7f7-b2da-40d9-b5e6-e4adcbf5bf81
198,Ozark Store,1516 N 18th St,Ozark,AR,35.503711,-93.84385,1c21a21c-67b9-4ce1-88df-b419763d480b
